container_type,filled,scholar_id,source,name,url_picture,affiliation,interests,email_domain,homepage,citedby,organization,org_name,org_country,Lat,Long,,,,,list,,
Author,['basics'],3OlOXn4AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Suining He,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=3OlOXn4AAAAJ&citpid=6,"Ubiquitous and Urban Computing Lab, Computer Science and Engineering, University of Connecticut","['Human-Centered Computing', 'Socio-Technical System', 'Human-Centered AI', 'Mobile and Ubiquitous Computing']",@uconn.edu,http://hesuining.weebly.com/,2659,4.79E+18,University of Connecticut,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],kNhFWQIAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Zhenwei Shi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kNhFWQIAAAAJ&citpid=2,"Professor at Image Processing Center, Beihang University, China","['Hyperspectral imaging', 'Remote Sensing', 'Signal and Image Processing', 'Pattern Recognition', 'Machine Learning']",@buaa.edu.cn,http://levir.buaa.edu.cn/,10661,4.20E+18,Beihang University,China,35.86166,104.195396,,,,,,,104.195396
Author,['basics'],6sRrxpAAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Sathish Govindarajan,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=6sRrxpAAAAAJ&citpid=2,"Associate Professor, Computer Science, Indian Institute of Science","['Combinatorial and Computational Geometry', 'Graph Theory', 'Algorithms']",@csa.iisc.ernet.in,http://drona.csa.iisc.ernet.in/~gsat,379,1.79E+19,Indian Institute of Science,India,20.593683,78.962883,,,,,,,78.962883
Author,['basics'],hcvSNjUAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Quang Hieu Vu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=hcvSNjUAAAAJ&citpid=2,"Head of Data Platform, ZaloPay","['Cloud Computing', 'P2P', 'Network Security', 'Data Science']",@vng.com.vn,,2495,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],5pKTRxEAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Eric Xing,,"President at Mohamed bin Zayed University of AI, Professor of Computer Science, Carnegie Mellon U","['Machine Learning', 'ML Systems', 'Optimization', 'Statistics', 'Network Analysis']",@cs.cmu.edu,http://www.cs.cmu.edu/~epxing/,55564,1.76E+19,Carnegie Mellon University,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],xLFL4sMAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Hao Dong,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=xLFL4sMAAAAJ&citpid=6,Peking University,"['Embodied AI', 'Robotic', 'Computer Vision']",@pku.edu.cn,http://zsdonghao.github.io/,4899,1.07E+19,Peking University,China,35.86166,104.195396,,,,,,,104.195396
Author,['basics'],47EBD1QAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Xuanqing Liu,,"University of California, Los Angeles","['Machine Learning', 'Artificial Intelligence']",@cs.ucla.edu,http://xuanqing94.github.io/,2371,1.41E+19,"University of California, Los Angeles",USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],RQnv70sAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Gaoxiong Zeng,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RQnv70sAAAAJ&citpid=16,Huawei Technologies,"['Computer Networks', 'Data Center Networking']",@huawei.com,https://gaoxiong.site/,243,1.95E+18,Huawei Technologies,China,35.86166,104.195396,,,,,,,104.195396
Author,['basics'],aC8RoC4AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Bruno Altieri,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=aC8RoC4AAAAJ&citpid=2,European Space Agency,"['galaxy clusters', 'gravitationally lensing clusters', 'infrared deep survey']",@esa.int,,27444,8.90E+18,European Space Agency,France,46.227638,2.213749,,,,,,,2.213749
Author,['basics'],GIToYFwAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Pedro Sander,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GIToYFwAAAAJ&citpid=2,Hong Kong UST,['Computer Graphics'],@cse.ust.hk,http://www.cse.ust.hk/~psander,6247,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],6H0mhLUAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Ren Ng,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=6H0mhLUAAAAJ&citpid=2,"Professor in Computer Science, University of California, Berkeley","['Computational Imaging', 'Computer Graphics', 'Computer Vision', 'Human Vision', 'Machine Learning']",@berkeley.edu,,18387,1.18E+19,"University of California, Berkeley",USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],PVdTviYAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Songwu Lu,,"Professor of Computer Science, UCLA","['Wireless networking', 'mobile systems', 'cloud computing', 'network security']",@cs.ucla.edu,,29285,1.41E+19,"University of California, Los Angeles",USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],s2XQ_oMAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Baoxue Zhao,,ByteDance Inc,"['database', 'distributed and parallel system']",@cse.ust.hk,,24,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],X9VrDxkAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Vasa Curcin,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=X9VrDxkAAAAJ&citpid=2,"Professor of health informatics, King's College London","['Provenance', 'scientific workflows', 'health informatics']",@doc.ic.ac.uk,,4480,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],nu1MTvEAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Piyush Kumar,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=nu1MTvEAAAAJ&citpid=1,"Professor of Computer Science, Florida State University",['Algorithms'],@compgeom.com,http://piyush.compgeom.com/,3887,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],OGdx-IUAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Hoh Peter In,,"Professor of Computer Science, Korea University","['Software Engineering', 'Embedded System', 'Software Security', 'Autonomous and Adaptive Software']",@korea.ac.kr,,2835,9.22E+18,Korea University,South Korea,35.907757,127.766922,,,,,,,127.766922
Author,['basics'],71rdofMAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,xinyu xing,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=71rdofMAAAAJ&citpid=2,Northwestern University,['Security'],@northwestern.edu,http://xinyuxing.org/,3761,2.80E+18,Northwestern University,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],Qv8RvcgAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Houda Labiod,,Telecom ParisTech,['Réseaux'],@telecom-paristech.fr,,3771,8.82E+18,Télécom ParisTech,France,46.227638,2.213749,,,,,,,2.213749
Author,['basics'],PGDg7GkAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Neng Wang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=PGDg7GkAAAAJ&citpid=1,Mavenir Networks,"['wireless communications', 'signal processing']",@mavenir.com,https://www.linkedin.com/in/nengwang/,2031,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],x3Mz21gAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Yichun Yin,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=x3Mz21gAAAAJ&citpid=7,Huawei Noah's Ark Lab,"['Deep Learning', 'Natural Language Processing']",@huawei.com,,2074,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],#NAME?,AuthorSource.AUTHOR_PROFILE_PAGE,Hee-Kap Ahn,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-MitSNYAAAAJ&citpid=11,"Professor, Graduate School of Artificial Intelligence, Dept. Computer Science and Engineering","['Computational Geometry', 'Discrete and Computational Geometry', 'Algorithms']",@postech.ac.kr,http://algo.postech.ac.kr/~heekap,1386,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],AHOG_MgAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,X. Sean Wang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=AHOG_MgAAAAJ&citpid=5,"School of Computer Science, Fudan University","['Database Systems', 'Information Security and Privacy', 'Wireless Sensor Networks', 'Streaming Data Processing Time Series Queries', 'Dat']",@fudan.edu.cn,http://www.cs.fudan.edu.cn/?page_id=1249?lang=eng,9299,1.35E+19,Fudan University,China,35.86166,104.195396,,,,,,,104.195396
Author,['basics'],jxwlCUUAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Pin-Yu Chen,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=jxwlCUUAAAAJ&citpid=9,"Principal Research Scientist, IBM Research AI; MIT-IBM Watson AI Lab; RPI-IBM AIRC","['Robust AI', 'Trustworthy Machine Learning', 'Adversarial Machine Learning', 'Adversarial Robustness', 'AI Safety']",@ibm.com,https://sites.google.com/site/pinyuchenpage/,14505,2.12E+18,IBM Corporation,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],kXbWREkAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Jiawei Phoenix MA,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kXbWREkAAAAJ&citpid=5,"Ph.D in Computer Science, Columbia University","['Representation Learning', 'Multi-Modal Understanding', 'Computational Imaging']",@columbia.edu,https://blogs.cuit.columbia.edu/jm4743/,1058,8.87E+18,Columbia University,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],XrwHHxAAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Qiang Ning,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=XrwHHxAAAAAJ&citpid=1,Amazon,"['Machine Learning', 'Natural Language Processing']",@amazon.com,https://qiangning.info/,1825,1.12E+19,Amazon Inc.,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],nFhLmFkAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Yu-Wing Tai,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=nFhLmFkAAAAJ&citpid=3,Dartmouth College,"['Computer Vision', 'Deep Learning']",@dartmouth.edu,https://yuwingtai.github.io/,17519,1.82E+19,Dartmouth College,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],4KmaeeUAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Ahmed Kosba,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=4KmaeeUAAAAJ&citpid=8,"Assistant Professor, Computer and Systems Engineering, Alexandria University","['Applied Cryptography', 'Security', 'Blockchains']",@alexu.edu.eg,https://akosba.github.io/,7131,1.77E+19,Alexandria University,Egypt,26.820553,30.802498,,,,,,,30.802498
Author,['basics'],GSmjfZUAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Jason Min Wang,,"Department of Computer Science and Engineering, The Hong Kong University of Science and Engineering","['Computer Networking', 'Distributed Systems']",@cse.ust.hk,http://www.cse.ust.hk/~jasonwangm,510,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],klJBYrAAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Fuzhen Zhuang (庄福振),https://scholar.googleusercontent.com/citations?view_op=view_photo&user=klJBYrAAAAAJ&citpid=6,"Professor at Institute of Artificial Intelligence, Beihang University","['Data Mining', 'Transfer Learning', 'Multi-task Learning', 'Recommender Systems', 'Knowledge Graph']",@buaa.edu.cn,https://fuzhenzhuang.github.io/index.html,12844,4.20E+18,Beihang University,China,35.86166,104.195396,,,,,,,104.195396
Author,['basics'],B6yv8TUAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Qixiang Pang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=B6yv8TUAAAAJ&citpid=1,The University of British Columbia,[],@ece.ubc.ca,,1398,1.37E+19,University of British Columbia,Canada,56.130367,-106.346771,,,,,,,-106.346771
Author,['basics'],dWeybWIAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Jiexing Li,,University of Wisconsin - Madison,['Database Systems'],@cs.wisc.edu,http://pages.cs.wisc.edu/~jxli,786,9.66E+18,University of Wisconsin-Madison,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],YkD8hs0AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Wei WANG,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=YkD8hs0AAAAJ&citpid=5,"Professor, Huazhong University of Science and Technology","['Cyber-physical systems', 'Backscatter', 'Connected and Autonomous Vehicles']",@hust.edu.cn,http://eic.hust.edu.cn/professor/wangwei/index.html,2175,7.18E+18,Huazhong University of Science and Technology,China,35.86166,104.195396,,,,,,,104.195396
Author,['basics'],MatRqXUAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Majid Daliri,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=MatRqXUAAAAJ&citpid=5,New York University,"['Algorithms', 'Machine Learning', 'Sparsity', 'Sketching Algorithm', 'Big Data']",@nyu.edu,https://majid-daliri.github.io/,35,1.76E+19,New York University,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],#NAME?,AuthorSource.AUTHOR_PROFILE_PAGE,Ruichuan Chen,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-_8lJhoAAAAJ&citpid=2,Distinguished Member of Technical Staff @ Bell Labs,"['Cloud computing', 'Machine learning systems', 'Decentralized systems', 'Privacy']",@ruichuan.org,http://ruichuan.org/,2002,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],AkvAUzkAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Ramayya Krishnan,,Carnegie Mellon University,"['Network Analysis', 'E-commerce', 'Privacy']",@cmu.edu,http://www.heinz.cmu.edu/faculty-and-research/faculty-profiles/faculty-details/index.aspx?faculty_id=51,9994,1.76E+19,Carnegie Mellon University,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],rUZN-zQAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Danfeng Zhang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rUZN-zQAAAAJ&citpid=2,Duke University,"['Security', 'Programming Languages']",@duke.edu,https://users.cs.duke.edu/~dz132/,2279,7.48E+18,Duke University,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],h6JpyX4AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Shuihai Hu,,Huawei,['data center network'],@cse.ust.hk,http://sing.cse.ust.hk/~shuihai,586,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],bM44mNEAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Chuanxiong Guo,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=bM44mNEAAAAJ&citpid=2,Sysnetome.com,"['networking', 'machine learning systems', 'hardware acceleration']",@ieee.org,http://sysnetome.com/,13920,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],DAn1pA4AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Lin Ma,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DAn1pA4AAAAJ&citpid=5,Meituan,"['Multimodal LLM', 'Computer Vision']",@alumni.cuhk.net,http://forestlinma.com/,11251,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],nd8lQQIAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Christos Faloutsos,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=nd8lQQIAAAAJ&citpid=2,CMU,"['Data Mining', 'Graph Mining', 'Databases']",@cs.cmu.edu,http://example.edu/~yourname,113493,1.76E+19,Carnegie Mellon University,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],8eNm2GMAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,S. Kevin Zhou,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8eNm2GMAAAAJ&citpid=4,"Professor, USTC, FAIMBE, FIAMBE, FIEEE, FMICCAI, FNAI","['Medical Image Computing', 'Computer Vision & Pattern Recognition', 'Machine & Deep Learning']",@ustc.edu.cn,https://www.linkedin.com/in/s-kevin-zhou-231a094b,15239,8.12E+18,University of Science and Technology of China,China,35.86166,104.195396,,,,,,,104.195396
Author,['basics'],LDb4tb0AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Shi-Min Hu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=LDb4tb0AAAAJ&citpid=3,Tsinghua University,"['Geometry processing', 'Geometric Modeling', 'Computer Graphics', 'Image and Video processing', 'Computer Aided Design']",@tsinghua.edu.cn,http://cg.cs.tsinghua.edu.cn/,22333,1.54E+19,Tsinghua University,China,35.86166,104.195396,,,,,,,104.195396
Author,['basics'],jCAwFlgAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Sun Shixuan,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=jCAwFlgAAAAJ&citpid=1,Shanghai Jiao Tong University,"['Database Systems', 'Graph Algorithms', 'Parallel Computing']",@sjtu.edu.cn,https://shixuansun.github.io/,358,1.18E+19,Shanghai Jiao Tong University,China,35.86166,104.195396,,,,,,,104.195396
Author,['basics'],DKEanU8AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Xianrui Meng,,Privacy AI/ML,"['Data Security & Privacy', 'Privacy-preserving ML', 'Cryptography', 'Blockchain', 'Cryptocurrencies']",@amazon.com,http://www.xianruimeng.org/,2139,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],vY32ftcAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Cane Wing-Ki Leung,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vY32ftcAAAAJ&citpid=3,"Senior AI Manager, Wisers AI Lab","['data mining', 'text mining', 'social media mining', 'NLP']",@wisers.com,,1175,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],WUrGGDgAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Spiros Papadimitriou,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=WUrGGDgAAAAJ&citpid=2,Rutgers University,"['Data Mining', 'Time Series', 'Graphs', 'Streams']",@rutgers.edu,,7278,3.90E+18,Rutgers University,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],X1aZEfwAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Weifa Liang,,"Professor of Computer Science, City University of Hong Kong","['Wireless sensor networks', 'approximation algorithms', 'edge and cloud computing', 'Software Defined Networking', 'Internet of Things']",@cityu.edu.hk,https://www.cs.cityu.edu.hk/~weliang/index.html,8973,6.44E+18,City University of Hong Kong,Hong Kong,22.396427,114.109497,,,,,,,114.109497
Author,['basics'],GFGN-ykAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Dan Li,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GFGN-ykAAAAJ&citpid=2,Tsinghua University,"['Data Center Network', 'AI for Network', 'Network for AI', 'Network Security']",@tsinghua.edu.cn,http://nasp.cs.tsinghua.edu.cn/lidan.html,6480,1.54E+19,Tsinghua University,China,35.86166,104.195396,,,,,,,104.195396
Author,['basics'],07ds-DAAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Jennifer Rexford,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=07ds-DAAAAAJ&citpid=3,"Professor of Computer Science, Princeton University","['Networking', 'Computer Networks', 'Internet Routing', 'Network Management']",@cs.princeton.edu,http://www.cs.princeton.edu/~jrex/,67584,4.84E+18,Princeton University,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],2spsaBIAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Ka-Ho Chow,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=2spsaBIAAAAJ&citpid=3,IBM Research,"['Trustworthy AI', 'Cybersecurity', 'ML for Systems', 'Systems for ML']",@ibm.com,https://khchow.com/,846,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],GKL_i6sAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Victor OK Li,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GKL_i6sAAAAJ&citpid=2,The University of Hong Kong,"['AI', 'big data', 'smart grid', 'networks', 'optimization techniques.']",@eee.hku.hk,http://www.eee.hku.hk/people/vli.html,27306,2.53E+18,University of Hong Kong,Hong Kong,22.396427,114.109497,,,,,,,114.109497
Author,['basics'],8AGfW-AAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Pavankumar Reddy Muddireddy,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8AGfW-AAAAAJ&citpid=1,Google,['Natural Language Processing'],@google.com,,76,6.52E+18,Google Inc.,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],P1N6z0oAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Zhixu Li,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=P1N6z0oAAAAJ&citpid=4,Fudan University,"['Knowledge Graph', 'Information Extraction']",@fudan.edu.cn,http://kw.fudan.edu.cn/people/lizhixu/,2477,1.35E+19,Fudan University,China,35.86166,104.195396,,,,,,,104.195396
Author,['basics'],hIpaL2wAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Mingyang Zhou,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=hIpaL2wAAAAJ&citpid=1,"Post Doc Research Scientist, Columbia University",['Vision and Language'],@columbia.edu,,325,8.87E+18,Columbia University,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],SL1cTsIAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Weng-Fai Wong,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=SL1cTsIAAAAJ&citpid=2,"Associate Professor of Computer Science, National University of Singapore","['Computer architecture', 'compilers', 'high performance computing', 'embedded systems', 'parallel processing']",@nus.edu.sg,http://www.comp.nus.edu.sg/~wongwf,4907,8.34E+16,National University of Singapore,Singapore,1.352083,103.819839,,,,,,,103.819839
Author,['basics'],0fTVEgQAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Yiming Zhang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0fTVEgQAAAAJ&citpid=1,West Virginia University; Case Western Reserve University,"['Data mining', 'Big data', 'Machine learning']",@mix.wvu.edu,,676,4.97E+18,West Virginia University,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],kPxa2w0AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Philip Torr,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kPxa2w0AAAAJ&citpid=3,"Professor, University of Oxford",['Department of Engineering'],@eng.ox.ac.uk,http://www.robots.ox.ac.uk/~phst/,86809,2.73E+17,University of Oxford,UK,55.378052,-3.435973,,,,,,,-3.435973
Author,['basics'],D_K60GgAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Gourab Kundu,,University of Illinois at Urbana Champaign,"['Natural Language Processing', 'Machine Learning']",@illinois.edu,,796,4.50E+18,University of Illinois at Urbana-Champaign,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],S56rLU4AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Siyan HU,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=S56rLU4AAAAJ&citpid=3,Hong Kong University of Science and Technology,"['Augmented Reality', 'Mobile Computing']",@connect.ust.hk,https://siyanhu.github.io/,220,9.57E+18,Hong Kong University of Science and Technology,Hong Kong,22.396427,114.109497,,,,,,,114.109497
Author,['basics'],yywVMhUAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,"Liqiang Nie (聂礼强), IAPR Fellow",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=yywVMhUAAAAJ&citpid=5,Harbin Institute of Technology (Shenzhen),"['Multimedia Computing', 'Information Retrieval']",@hit.edu.cn,https://liqiangnie.github.io/index.html,22609,4.73E+18,Harbin Institute of Technology,China,35.86166,104.195396,,,,,,,104.195396
Author,['basics'],-0XaEQkAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Kerry Taylor,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=-0XaEQkAAAAJ&citpid=2,"Professor of Computer Science, Australian National University","['ontologies', 'semantic web', 'machine learning', 'sensor networks', 'spatial data']",@acm.org,,5512,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],Bt4uDWMAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Jue Wang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Bt4uDWMAAAAJ&citpid=2,Tencent,"['computational photography', 'computer vision', 'computer graphics']",@tencent.com,http://juewang725.github.io/,16269,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],x5lXo2YAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Zhengdong Lu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=x5lXo2YAAAAJ&citpid=2,L,"['NLP', 'deep learning']",@deeplycurious.ai,,10719,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],nEuMO58AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Hantian Ding,,AWS AI Labs,"['natural language processing', 'bioinformatics']",@amazon.com,,163,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],PlgV6FwAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Vincent Oria,,New Jersey Institute of Technology,"['Multimedia Databases', 'Spatio Temporal Databases', 'Recommender Systems...']",@njit.edu,,2988,3.22E+18,New Jersey Institute of Technology,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],ByqnKOkAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Yaxiong Xie,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ByqnKOkAAAAJ&citpid=5,"Assistant Professor, CSE, University at Buffalo","['Next-Generation Networks', 'Mobile Computing', 'AIoT', 'Smart Health']",@buffalo.edu,https://xieyaxiongfly.github.io/,1443,8.19E+18,University at Buffalo,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],wlosgkoAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Graham Neubig,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=wlosgkoAAAAJ&citpid=5,Carnegie Mellon University,"['Natural Language Processing', 'Machine Learning']",@cs.cmu.edu,http://www.phontron.com/,25871,1.76E+19,Carnegie Mellon University,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],T9AzhwcAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,"Jieping Ye, IEEE Fellow & ACM Distinguished Member",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=T9AzhwcAAAAJ&citpid=2,Alibaba Group,"['Machine learning', 'data mining', 'transportation', 'biomedical informatics']",@umich.edu,http://www.yelabs.net/,38198,,,,#N/A,#N/A,,,,,,,#N/A
Author,['basics'],#NAME?,AuthorSource.AUTHOR_PROFILE_PAGE,Aoyu Wu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-Vep07gAAAAJ&citpid=3,Harvard University,"['Data Visualization', 'Human Computer Interaction', 'Visual Analytics']",@seas.harvard.edu,https://wowjyu.github.io/,476,1.90E+18,Harvard University,USA,37.09024,-95.712891,,,,,,,-95.712891
Author,['basics'],UTJiSiUAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Ginny Y. Wong,,"Data Scientist, NVIDIA AI Technology Center",[],@nvidia.com,,142,,,,#N/A,#N/A,,,,,,,#N/A
